iter	F1	Logloss	Accuracy	Precision	Recall
0	0	0.6899611226	0.7	1	0
1	0.3834586466	0.6864806468	0.74375	0.6891891892	0.265625
2	0.3671875	0.6823311919	0.746875	0.734375	0.2447916667
3	0.3861003861	0.6783415849	0.7515625	0.7462686567	0.2604166667
4	0.4738675958	0.6741830281	0.7640625	0.7157894737	0.3541666667
5	0.4771929825	0.6713379454	0.7671875	0.7311827957	0.3541666667
6	0.4642857143	0.6671758088	0.765625	0.7386363636	0.3385416667
7	0.4148148148	0.6635500688	0.753125	0.7179487179	0.2916666667
8	0.4290909091	0.6599550966	0.7546875	0.7108433735	0.3072916667
9	0.4264705882	0.6567808046	0.75625	0.725	0.3020833333
10	0.4148148148	0.6545031511	0.753125	0.7179487179	0.2916666667
11	0.4194756554	0.6515753219	0.7578125	0.7466666667	0.2916666667
12	0.4206642066	0.647832021	0.7546875	0.7215189873	0.296875
13	0.4237918216	0.6451647799	0.7578125	0.7402597403	0.296875
14	0.4106463878	0.6426268123	0.7578125	0.7605633803	0.28125
15	0.4122137405	0.6396779517	0.759375	0.7714285714	0.28125
16	0.4122137405	0.6373080151	0.759375	0.7714285714	0.28125
17	0.4061302682	0.6347130951	0.7578125	0.768115942	0.2760416667
18	0.3938223938	0.6326026921	0.7546875	0.7611940299	0.265625
19	0.3875968992	0.6304963717	0.753125	0.7575757576	0.2604166667
20	0.3938223938	0.6273537209	0.7546875	0.7611940299	0.265625
21	0.4166666667	0.623754493	0.759375	0.7638888889	0.2864583333
22	0.4285714286	0.6212277869	0.7625	0.7702702703	0.296875
23	0.4280442804	0.6175763769	0.7578125	0.7341772152	0.3020833333
24	0.4344569288	0.6149542327	0.7640625	0.7733333333	0.3020833333
25	0.4312267658	0.6118591514	0.7609375	0.7532467532	0.3020833333
26	0.4344569288	0.6100093698	0.7640625	0.7733333333	0.3020833333
27	0.4312267658	0.6068541733	0.7609375	0.7532467532	0.3020833333
28	0.4312267658	0.6051727918	0.7609375	0.7532467532	0.3020833333
29	0.442804428	0.6025223111	0.7640625	0.7594936709	0.3125
30	0.4253731343	0.5992886478	0.759375	0.75	0.296875
31	0.4354243542	0.5964009603	0.7609375	0.746835443	0.3072916667
32	0.4253731343	0.5948184627	0.759375	0.75	0.296875
33	0.4253731343	0.5926208661	0.759375	0.75	0.296875
34	0.4328358209	0.5905759251	0.7625	0.7631578947	0.3020833333
35	0.4360902256	0.5884634646	0.765625	0.7837837838	0.3020833333
36	0.4485294118	0.5861084632	0.765625	0.7625	0.3177083333
37	0.4501845018	0.5838200451	0.7671875	0.7721518987	0.3177083333
38	0.43866171	0.5826395944	0.7640625	0.7662337662	0.3072916667
39	0.43866171	0.5813577366	0.7640625	0.7662337662	0.3072916667
40	0.4328358209	0.5800987556	0.7625	0.7631578947	0.3020833333
41	0.437037037	0.5778710363	0.7625	0.7564102564	0.3072916667
42	0.4411764706	0.5757203837	0.7625	0.75	0.3125
