iter	Passed	Remaining
0	22	22002
1	52	26178
2	106	35474
3	268	66859
4	302	60252
5	312	51815
6	380	53960
7	443	54963
8	502	55279
9	560	55478
10	614	55277
11	640	52759
12	706	53624
13	754	53115
14	786	51672
15	812	49963
16	842	48744
17	879	47963
18	903	46664
19	923	45270
20	960	44787
21	1012	45017
22	1101	46808
23	1157	47059
24	1194	46601
25	1235	46271
26	1271	45823
27	1361	47267
28	1383	46338
29	1427	46142
30	1464	45762
31	1509	45670
32	1552	45495
33	1597	45391
34	1633	45046
35	1682	45044
36	1740	45304
37	1791	45348
38	1821	44880
39	1858	44599
40	1891	44231
41	1929	44020
42	1972	43902
43	2002	43501
44	2030	43090
45	2081	43166
46	2095	42488
47	2120	42054
48	2126	41264
49	2135	40581
50	2164	40280
51	2209	40283
52	2242	40070
53	2301	40325
54	2311	39718
55	2330	39280
56	2427	40160
57	2467	40077
58	2497	39826
59	2540	39807
60	2573	39618
61	2620	39646
62	2644	39330
63	2686	39285
64	2741	39442
65	2790	39492
66	2820	39281
67	2870	39338
68	2908	39237
69	2949	39186
70	2956	38683
71	2996	38623
72	3053	38770
73	3115	38986
74	3158	38953
75	3199	38902
76	3259	39071
77	3317	39219
78	3380	39407
79	3510	40368
80	3559	40390
81	3601	40322
82	3652	40348
83	3700	40353
84	3746	40325
85	3761	39976
86	3800	39879
87	3829	39687
88	3884	39763
89	3937	39816
90	3978	39740
91	4041	39890
92	4086	39858
93	4122	39737
94	4170	39733
95	4183	39395
96	4218	39270
97	4267	39275
98	4325	39370
99	4368	39320
100	4424	39380
101	4458	39249
102	4534	39492
103	4598	39614
104	4630	39471
105	4647	39198
106	4682	39077
107	4714	38935
108	4775	39037
109	4820	38998
110	4882	39102
111	4931	39100
112	4952	38875
113	4992	38797
114	5025	38675
115	5086	38759
116	5156	38917
117	5210	38947
118	5254	38901
119	5315	38978
120	5370	39012
121	5400	38865
122	5453	38882
123	5502	38870
124	5559	38913
125	5574	38667
126	5653	38860
127	5685	38731
128	5727	38672
129	5772	38634
130	5806	38520
131	5868	38590
132	5923	38612
133	5968	38574
134	5983	38337
135	6034	38334
136	6060	38176
137	6112	38182
138	6161	38167
139	6191	38031
140	6242	38032
141	6276	37923
142	6312	37827
143	6344	37713
144	6388	37668
145	6423	37570
146	6451	37436
147	6491	37370
148	6506	37162
149	6537	37046
150	6568	36930
151	6609	36872
152	6721	37212
153	6761	37146
154	6807	37110
155	6868	37161
156	6920	37156
157	6984	37220
158	7023	37149
159	7083	37187
160	7115	37079
161	7158	37031
162	7207	37011
163	7266	37043
164	7308	36983
165	7361	36987
166	7406	36945
167	7440	36848
168	7460	36686
169	7504	36638
170	7574	36718
171	7613	36649
172	7659	36615
173	7716	36633
174	7936	37416
175	7969	37312
176	8006	37227
177	8054	37195
178	8109	37194
179	8152	37138
180	8158	36915
181	8195	36832
182	8245	36811
183	8285	36742
184	8328	36690
185	8363	36603
186	8412	36574
187	8451	36505
188	8501	36480
189	8549	36448
190	8586	36370
191	8630	36318
192	8662	36222
193	8692	36115
194	8744	36099
195	8754	35910
196	8780	35790
197	8833	35780
198	8903	35838
199	9001	36004
200	9034	35912
201	9084	35889
202	9116	35793
203	9163	35756
204	9180	35602
205	9219	35533
206	9271	35519
207	9305	35434
208	9345	35371
209	9382	35297
210	9409	35186
211	9468	35194
212	9502	35110
213	9547	35067
214	9577	34967
215	9613	34894
216	9657	34847
217	9711	34837
218	9762	34814
219	9804	34760
220	9853	34732
221	9924	34780
222	9958	34698
223	9992	34617
224	10086	34743
225	10133	34703
226	10151	34570
227	10197	34529
228	10248	34504
229	10287	34440
230	10341	34425
231	10387	34385
232	10422	34310
233	10461	34245
234	10496	34168
235	10532	34098
236	10592	34102
237	10616	33989
238	10670	33976
239	10718	33943
240	10759	33885
241	10802	33835
242	10855	33817
243	10913	33814
244	10951	33748
245	10985	33670
246	11001	33539
247	11065	33554
248	11082	33426
249	11214	33642
250	11258	33595
251	11299	33538
252	11353	33522
253	11398	33478
254	11443	33432
255	11486	33382
256	11505	33262
257	11554	33230
258	11572	33108
259	11634	33114
260	11707	33149
261	11773	33163
262	11837	33170
263	11846	33025
264	11891	32982
265	11928	32915
266	11993	32926
267	12044	32898
268	12082	32834
269	12122	32774
270	12166	32728
271	12318	32969
272	12370	32943
273	12423	32918
274	12483	32910
275	12575	32988
276	12626	32957
277	12645	32842
278	12680	32769
279	12726	32726
280	12771	32678
281	12840	32692
282	12869	32606
283	12884	32483
284	12927	32432
285	12966	32371
286	13016	32338
287	13051	32266
288	13089	32204
289	13103	32080
290	13137	32009
291	13174	31943
292	13221	31904
293	13261	31846
294	13357	31921
295	13437	31959
296	13465	31872
297	13496	31794
298	13536	31736
299	13558	31636
300	13588	31556
301	13637	31519
302	13674	31455
303	13710	31388
304	13717	31257
305	13759	31206
306	13791	31132
307	13846	31109
308	13931	31153
309	14001	31163
310	14027	31076
311	14081	31051
312	14152	31064
313	14233	31095
314	14307	31112
315	14362	31089
316	14479	31197
317	14535	31174
318	14580	31126
319	14626	31082
320	14685	31064
321	14757	31073
322	14806	31033
323	14877	31040
324	14955	31060
325	15004	31021
326	15088	31052
327	15126	30991
328	15183	30966
329	15232	30926
330	15263	30848
331	15333	30852
332	15347	30740
333	15402	30711
334	15550	30869
335	15590	30809
336	15641	30773
337	15674	30700
338	15708	30629
339	15751	30575
340	15784	30503
341	15806	30410
342	15850	30361
343	15895	30312
344	15923	30231
345	15958	30164
346	15992	30095
347	16030	30034
348	16078	29992
349	16122	29942
350	16155	29871
351	16189	29803
352	16232	29751
353	16297	29741
354	16354	29713
355	16385	29640
356	16402	29542
357	16407	29423
358	16464	29397
359	16491	29318
360	16545	29286
361	16638	29324
362	16671	29254
363	16708	29193
364	16736	29116
365	16802	29105
366	16832	29032
367	16879	28988
368	16910	28917
369	16937	28838
370	17005	28831
371	17045	28776
372	17077	28705
373	17122	28658
374	17171	28619
375	17217	28574
376	17255	28515
377	17304	28473
378	17350	28429
379	17402	28392
380	17448	28347
381	17511	28330
382	17541	28258
383	17602	28238
384	17626	28157
385	17718	28184
386	17769	28146
387	17800	28077
388	17849	28035
389	17891	27983
390	17906	27890
391	17942	27828
392	18006	27811
393	18040	27748
394	18096	27716
395	18142	27671
396	18201	27646
397	18264	27626
398	18315	27587
399	18364	27546
400	18383	27461
401	18412	27390
402	18448	27328
403	18476	27256
404	18540	27238
405	18591	27199
406	18639	27157
407	18682	27107
408	18776	27131
409	18810	27069
410	18841	27001
411	18889	26958
412	18934	26911
413	18982	26868
414	19038	26836
415	19088	26797
416	19120	26732
417	19160	26678
418	19204	26630
419	19253	26587
420	19281	26517
421	19314	26454
422	19364	26413
423	19407	26364
424	19471	26343
425	19544	26334
426	19590	26288
427	19644	26254
428	19699	26219
429	19732	26156
430	19866	26227
431	19918	26189
432	19976	26158
433	19995	26077
434	20037	26025
435	20081	25976
436	20128	25931
437	20182	25895
438	20239	25864
439	20294	25829
440	20339	25782
441	20373	25720
442	20413	25666
443	20470	25633
444	20530	25605
445	20579	25563
446	20646	25542
447	20699	25505
448	20752	25467
449	20788	25408
450	20822	25347
451	20869	25301
452	20985	25340
453	21025	25286
454	21081	25251
455	21130	25207
456	21187	25174
457	21225	25118
458	21269	25069
459	21335	25046
460	21389	25008
461	21439	24966
462	21497	24933
463	21569	24916
464	21598	24849
465	21630	24786
466	21666	24728
467	21716	24686
468	21759	24636
469	21790	24571
470	21821	24508
471	21854	24447
472	21904	24404
473	21953	24362
474	22077	24401
475	22128	24360
476	22177	24316
477	22227	24273
478	22283	24237
479	22322	24182
480	22366	24133
481	22407	24081
482	22458	24039
483	22507	23995
484	22550	23945
485	22589	23890
486	22630	23838
487	22672	23787
488	22720	23743
489	22782	23712
490	22838	23676
491	22880	23624
492	22917	23568
493	22962	23520
494	23016	23481
495	23060	23432
496	23352	23634
497	23406	23594
498	23471	23565
499	23520	23520
500	23564	23470
501	23599	23411
502	23631	23350
503	23684	23308
504	23736	23266
505	23770	23206
506	23797	23140
507	23848	23096
508	23882	23037
509	23936	22997
510	23971	22939
511	24024	22897
512	24060	22841
513	24097	22784
514	24134	22728
515	24173	22674
516	24229	22636
517	24270	22583
518	24316	22536
519	24328	22456
520	24434	22464
521	24482	22418
522	24530	22373
523	24565	22315
524	24615	22271
525	24658	22221
526	24706	22174
527	24751	22126
528	24789	22071
529	24831	22020
530	24882	21977
531	24916	21918
532	24947	21857
533	24994	21811
534	25032	21757
535	25063	21696
536	25107	21647
537	25144	21592
538	25207	21559
539	25266	21523
540	25296	21461
541	25352	21423
542	25405	21382
543	25514	21387
544	25563	21341
545	25612	21297
546	25664	21254
547	25729	21221
548	25791	21187
549	25832	21135
550	25882	21091
551	25921	21038
552	25974	20995
553	26009	20939
554	26067	20900
555	26129	20865
556	26203	20840
557	26241	20786
558	26275	20728
559	26312	20673
560	26350	20620
561	26386	20564
562	26438	20521
563	26481	20471
564	26610	20487
565	26648	20433
566	26686	20379
567	26706	20311
568	26758	20268
569	26795	20214
570	26839	20165
571	26878	20111
572	26927	20066
573	26965	20012
574	26997	19954
575	27045	19908
576	27087	19857
577	27129	19807
578	27177	19761
579	27244	19728
580	27285	19677
581	27333	19631
582	27369	19576
583	27427	19537
584	27470	19487
585	27512	19437
586	27556	19388
587	27600	19339
588	27738	19355
589	27774	19300
590	27830	19259
591	27867	19206
592	27909	19155
593	27942	19099
594	27981	19046
595	28033	19002
596	28064	18944
597	28116	18901
598	28171	18859
599	28199	18799
600	28259	18761
601	28317	18721
602	28379	18684
603	28449	18652
604	28510	18614
605	28538	18554
606	28584	18506
607	28613	18448
608	28657	18399
609	28681	18337
610	28712	18280
611	28825	18274
612	28863	18222
613	28890	18162
614	28925	18108
615	28971	18059
616	28999	18001
617	29009	17931
618	29047	17878
619	29080	17823
620	29131	17778
621	29181	17733
622	29223	17684
623	29234	17615
624	29269	17561
625	29278	17492
626	29317	17441
627	29363	17393
628	29417	17351
629	29474	17310
630	29524	17265
631	29580	17224
632	29621	17173
633	29674	17130
634	29711	17078
635	29730	17015
636	29795	16979
637	29935	16985
638	29989	16942
639	30040	16897
640	30067	16839
641	30099	16784
642	30144	16736
643	30169	16677
644	30219	16632
645	30292	16600
646	30330	16548
647	30343	16482
648	30392	16437
649	30441	16391
650	30492	16346
651	30533	16296
652	30566	16242
653	30614	16196
654	30655	16146
655	30716	16107
656	30776	16067
657	30838	16028
658	30882	15980
659	30914	15925
660	31036	15917
661	31089	15873
662	31201	15859
663	31264	15820
664	31308	15771
665	31348	15721
666	31393	15673
667	31466	15639
668	31525	15598
669	31579	15554
670	31644	15515
671	31690	15468
672	31732	15418
673	31777	15370
674	31833	15327
675	31875	15277
676	31922	15230
677	31958	15177
678	31991	15124
679	32109	15110
680	32177	15072
681	32209	15018
682	32262	14974
683	32286	14915
684	32332	14868
685	32367	14815
686	32430	14775
687	32472	14725
688	32512	14675
689	32556	14626
690	32611	14583
691	32650	14532
692	32699	14486
693	32744	14437
694	32792	14391
695	32836	14342
696	32869	14289
697	32932	14248
698	32988	14205
699	33024	14153
700	33058	14100
701	33085	14044
702	33127	13995
703	33236	13974
704	33271	13922
705	33301	13867
706	33326	13811
707	33364	13760
708	33413	13713
709	33456	13665
710	33487	13611
711	33525	13560
712	33553	13506
713	33596	13457
714	33647	13411
715	33678	13358
716	33723	13310
717	33754	13257
718	33796	13208
719	33829	13156
720	33894	13115
721	33921	13061
722	33972	13015
723	34015	12967
724	34069	12922
725	34118	12876
726	34147	12823
727	34209	12781
728	34351	12769
729	34416	12729
730	34464	12682
731	34511	12635
732	34524	12575
733	34564	12526
734	34606	12477
735	34671	12436
736	34703	12384
737	34747	12335
738	34807	12293
739	34849	12244
740	34880	12191
741	34930	12145
742	34975	12097
743	35032	12054
744	35068	12003
745	35095	11949
746	35138	11900
747	35179	11851
748	35224	11804
749	35269	11756
750	35330	11714
751	35598	11739
752	35645	11692
753	35684	11642
754	35727	11593
755	35783	11549
756	35824	11499
757	35862	11449
758	35899	11398
759	35947	11351
760	35994	11304
761	36023	11251
762	36080	11207
763	36119	11157
764	36151	11105
765	36195	11057
766	36243	11010
767	36289	10962
768	36325	10911
769	36372	10864
770	36422	10818
771	36451	10765
772	36484	10714
773	36518	10663
774	36550	10611
775	36694	10592
776	36738	10543
777	36778	10494
778	36825	10447
779	36853	10394
780	36889	10344
781	36937	10297
782	36985	10250
783	37018	10198
784	37061	10150
785	37104	10102
786	37148	10054
787	37177	10002
788	37215	9952
789	37251	9902
790	37292	9853
791	37334	9804
792	37374	9756
793	37408	9705
794	37456	9658
795	37502	9611
796	37533	9559
797	37563	9508
798	37612	9461
799	37663	9415
800	37706	9367
801	37820	9337
802	37860	9288
803	37887	9236
804	37917	9184
805	37981	9142
806	38026	9094
807	38077	9048
808	38123	9000
809	38170	8953
810	38209	8904
811	38244	8854
812	38299	8809
813	38330	8758
814	38376	8711
815	38422	8663
816	38462	8615
817	38501	8566
818	38544	8518
819	38576	8468
820	38613	8418
821	38646	8368
822	38682	8319
823	38720	8270
824	38758	8221
825	38793	8171
826	38916	8140
827	38986	8098
828	39022	8049
829	39080	8004
830	39117	7955
831	39152	7905
832	39210	7860
833	39253	7813
834	39281	7762
835	39320	7713
836	39369	7666
837	39420	7620
838	39448	7569
839	39486	7521
840	39512	7470
841	39567	7424
842	39612	7377
843	39659	7330
844	39689	7280
845	39730	7232
846	39762	7182
847	39792	7132
848	39821	7082
849	39868	7035
850	40009	7005
851	40046	6956
852	40076	6906
853	40104	6856
854	40131	6805
855	40172	6758
856	40218	6710
857	40250	6661
858	40296	6614
859	40326	6564
860	40354	6514
861	40393	6466
862	40424	6417
863	40452	6367
864	40491	6319
865	40539	6272
866	40566	6223
867	40598	6173
868	40632	6125
869	40676	6078
870	40720	6030
871	40770	5984
872	40815	5937
873	40861	5890
874	40895	5842
875	40924	5792
876	40955	5744
877	40985	5694
878	41108	5658
879	41142	5610
880	41179	5562
881	41219	5514
882	41262	5467
883	41305	5420
884	41351	5373
885	41419	5329
886	41463	5282
887	41491	5233
888	41536	5186
889	41579	5139
890	41624	5092
891	41657	5043
892	41689	4995
893	41718	4946
894	41748	4897
895	41798	4851
896	41841	4804
897	41891	4758
898	41940	4711
899	41971	4663
900	42013	4616
901	42064	4570
902	42095	4521
903	42218	4483
904	42275	4437
905	42303	4389
906	42338	4341
907	42365	4292
908	42404	4245
909	42446	4198
910	42485	4150
911	42527	4103
912	42571	4056
913	42628	4010
914	42662	3963
915	42696	3915
916	42729	3867
917	42767	3820
918	42816	3773
919	42860	3727
920	42888	3678
921	42921	3631
922	42970	3584
923	43017	3538
924	43065	3491
925	43105	3444
926	43132	3396
927	43165	3349
928	43252	3305
929	43353	3263
930	43399	3216
931	43436	3169
932	43478	3122
933	43523	3075
934	43559	3028
935	43602	2981
936	43634	2933
937	43686	2887
938	43716	2839
939	43793	2795
940	43835	2748
941	43875	2701
942	43914	2654
943	43956	2607
944	43987	2560
945	44034	2513
946	44062	2466
947	44107	2419
948	44154	2372
949	44199	2326
950	44227	2278
951	44265	2231
952	44312	2185
953	44454	2143
954	44498	2096
955	44534	2049
956	44592	2003
957	44623	1956
958	44655	1909
959	44702	1862
960	44739	1815
961	44782	1768
962	44815	1721
963	44859	1675
964	44888	1628
965	44919	1581
966	44959	1534
967	45008	1487
968	45037	1440
969	45086	1394
970	45131	1347
971	45158	1300
972	45191	1254
973	45224	1207
974	45256	1160
975	45301	1113
976	45344	1067
977	45395	1021
978	45435	974
979	45682	932
980	45717	885
981	45751	838
982	45785	791
983	45844	745
984	45895	698
985	45951	652
986	46001	605
987	46057	559
988	46095	512
989	46150	466
990	46194	419
991	46240	372
992	46281	326
993	46317	279
994	46378	233
995	46424	186
996	46455	139
997	46499	93
998	46528	46
999	46571	0
