iter	F1	Logloss	Accuracy	Precision	Recall
0	0	0.6902430852	0.7	1	0
1	0.3563636364	0.6863750003	0.7234375	0.5903614458	0.2552083333
2	0.09708737864	0.6830478203	0.709375	0.7142857143	0.05208333333
3	0.3636363636	0.6790868341	0.7375	0.6666666667	0.25
4	0.3816793893	0.6752541028	0.746875	0.7142857143	0.2604166667
5	0.3924528302	0.671264951	0.7484375	0.7123287671	0.2708333333
6	0.3501945525	0.6678361233	0.7390625	0.6923076923	0.234375
7	0.4175824176	0.6639694961	0.7515625	0.7037037037	0.296875
8	0.4372759857	0.6602273074	0.7546875	0.7011494253	0.3177083333
9	0.3629343629	0.6575357052	0.7421875	0.7014925373	0.2447916667
10	0.344	0.6557685188	0.74375	0.7413793103	0.2239583333
11	0.3665338645	0.6530541697	0.7515625	0.7796610169	0.2395833333
12	0.3442622951	0.6508338465	0.75	0.8076923077	0.21875
13	0.3562753036	0.6483774655	0.7515625	0.8	0.2291666667
14	0.3109243697	0.6462531608	0.74375	0.8043478261	0.1927083333
15	0.309623431	0.6436158841	0.7421875	0.7872340426	0.1927083333
16	0.3025210084	0.6416086446	0.740625	0.7826086957	0.1875
17	0.347107438	0.6387827012	0.753125	0.84	0.21875
18	0.3485477178	0.6366810026	0.7546875	0.8571428571	0.21875
19	0.3291139241	0.6340595571	0.7515625	0.8666666667	0.203125
20	0.3416666667	0.6317558626	0.753125	0.8541666667	0.2135416667
21	0.3553719008	0.6292643817	0.75625	0.86	0.2239583333
22	0.3606557377	0.6271607616	0.75625	0.8461538462	0.2291666667
23	0.3291139241	0.6247830375	0.7515625	0.8666666667	0.203125
24	0.3361344538	0.6221613121	0.753125	0.8695652174	0.2083333333
25	0.3347280335	0.6201429033	0.7515625	0.8510638298	0.2083333333
26	0.3291139241	0.6174722899	0.7515625	0.8666666667	0.203125
27	0.3361344538	0.6157522973	0.753125	0.8695652174	0.2083333333
28	0.3263598326	0.6137881946	0.7484375	0.829787234	0.203125
29	0.3553719008	0.6116590527	0.75625	0.86	0.2239583333
30	0.3416666667	0.609795035	0.753125	0.8541666667	0.2135416667
31	0.3206751055	0.6090109616	0.7484375	0.8444444444	0.1979166667
32	0.3485477178	0.6069744505	0.7546875	0.8571428571	0.21875
33	0.3621399177	0.60443737	0.7578125	0.862745098	0.2291666667
34	0.3836734694	0.6021267349	0.7640625	0.8867924528	0.2447916667
35	0.3836734694	0.6002695763	0.7640625	0.8867924528	0.2447916667
36	0.3836734694	0.5983192408	0.7640625	0.8867924528	0.2447916667
37	0.3755102041	0.596647115	0.7609375	0.8679245283	0.2395833333
38	0.368852459	0.5949842263	0.759375	0.8653846154	0.234375
39	0.3445378151	0.593972112	0.75625	0.8913043478	0.2135416667
40	0.3445378151	0.5922020858	0.75625	0.8913043478	0.2135416667
41	0.3770491803	0.5899931361	0.7625	0.8846153846	0.2395833333
42	0.3821138211	0.5876997689	0.7625	0.8703703704	0.2447916667
43	0.3886639676	0.5859017692	0.7640625	0.8727272727	0.25
44	0.3703703704	0.5841839709	0.7609375	0.8823529412	0.234375
45	0.3703703704	0.5827000978	0.7609375	0.8823529412	0.234375
46	0.3770491803	0.5807883562	0.7625	0.8846153846	0.2395833333
47	0.3902439024	0.5792045969	0.765625	0.8888888889	0.25
48	0.3902439024	0.577636524	0.765625	0.8888888889	0.25
49	0.3836734694	0.5756124614	0.7640625	0.8867924528	0.2447916667
50	0.3770491803	0.5741702082	0.7625	0.8846153846	0.2395833333
51	0.3836734694	0.5726042547	0.7640625	0.8867924528	0.2447916667
52	0.378600823	0.5709116178	0.7640625	0.9019607843	0.2395833333
53	0.3719008264	0.5700646238	0.7625	0.9	0.234375
54	0.3719008264	0.5692481996	0.7625	0.9	0.234375
55	0.3734439834	0.5678645848	0.7640625	0.9183673469	0.234375
56	0.3801652893	0.5666137386	0.765625	0.92	0.2395833333
57	0.3918367347	0.565425799	0.7671875	0.9056603774	0.25
58	0.3918367347	0.5639343355	0.7671875	0.9056603774	0.25
59	0.3967611336	0.5622603008	0.7671875	0.8909090909	0.2552083333
60	0.3836734694	0.561336061	0.7640625	0.8867924528	0.2447916667
61	0.3983739837	0.5599752098	0.76875	0.9074074074	0.2552083333
62	0.4112903226	0.5585528906	0.771875	0.9107142857	0.265625
63	0.4112903226	0.557119126	0.771875	0.9107142857	0.265625
64	0.406504065	0.5556850795	0.771875	0.9259259259	0.2604166667
65	0.4	0.5551916809	0.7703125	0.9245283019	0.2552083333
66	0.4016393443	0.5535402034	0.771875	0.9423076923	0.2552083333
67	0.4	0.551925282	0.7703125	0.9245283019	0.2552083333
68	0.4193548387	0.5505163525	0.775	0.9285714286	0.2708333333
69	0.406504065	0.5491809083	0.771875	0.9259259259	0.2604166667
70	0.4	0.5481705012	0.7703125	0.9245283019	0.2552083333
71	0.4	0.5474504642	0.7703125	0.9245283019	0.2552083333
72	0.4129554656	0.5461912277	0.7734375	0.9272727273	0.265625
73	0.4146341463	0.5447551589	0.775	0.9444444444	0.265625
74	0.4274193548	0.5433757292	0.778125	0.9464285714	0.2760416667
75	0.4337349398	0.5415522803	0.7796875	0.9473684211	0.28125
76	0.4337349398	0.5406619719	0.7796875	0.9473684211	0.28125
