iter	Passed	Remaining
0	7	7919
1	46	23175
2	80	26878
3	113	28371
4	145	28991
5	188	31223
6	217	30894
7	243	30165
8	273	30062
9	300	29702
10	335	30148
11	359	29576
12	393	29892
13	430	30341
14	531	34883
15	699	42993
16	731	42298
17	789	43096
18	834	43092
19	869	42611
20	923	43048
21	959	42641
22	1007	42775
23	1067	43406
24	1083	42266
25	1151	43122
26	1210	43636
27	1273	44204
28	1311	43899
29	1367	44205
30	1410	44091
31	1462	44246
32	1474	43218
33	1525	43330
34	1574	43399
35	1621	43411
36	1671	43498
37	1854	46953
38	1893	46664
39	1928	46291
40	2006	46927
41	2101	47931
42	2146	47762
43	2185	47481
44	2222	47171
45	2262	46932
46	2308	46807
47	2331	46242
48	2381	46220
49	2412	45844
50	2423	45092
51	2484	45296
52	2528	45171
53	2566	44955
54	2616	44958
55	2667	44963
56	2703	44729
57	2714	44084
58	2741	43728
59	2805	43952
60	2842	43748
61	3045	46080
62	3082	45845
63	3118	45612
64	3149	45300
65	3181	45028
66	3212	44732
67	3267	44777
68	3315	44728
69	3365	44713
70	3435	44950
71	3483	44899
72	3495	44392
73	3556	44508
74	3596	44359
75	3642	44280
76	3652	43781
77	3684	43547
78	3719	43366
79	3743	43055
80	3759	42652
81	3797	42510
82	3835	42374
83	3882	42334
84	3925	42261
85	3948	41965
86	4005	42030
87	4040	41869
88	4053	41492
89	4363	44122
90	4422	44176
91	4447	43899
92	4471	43611
93	4490	43279
94	4495	42827
95	4528	42644
96	4558	42438
97	4610	42433
98	4659	42402
99	4718	42470
100	4747	42253
101	4792	42195
102	4821	41990
103	4858	41861
104	4919	41929
105	4970	41922
106	5025	41940
107	5082	41974
108	5115	41816
109	5142	41604
110	5158	41317
111	5180	41077
112	5215	40936
113	5319	41344
114	5324	40978
115	5367	40906
116	5569	42033
117	5632	42098
118	5667	41961
119	5738	42082
120	5772	41937
121	5813	41840
122	5876	41901
123	5908	41738
124	5950	41653
125	5998	41610
126	6050	41593
127	6112	41640
128	6187	41780
129	6248	41814
130	6264	41557
131	6316	41534
132	6360	41464
133	6404	41388
134	6417	41117
135	6450	40977
136	6501	40954
137	6535	40825
138	6630	41071
139	6808	41821
140	6855	41763
141	6910	41756
142	6947	41637
143	7003	41632
144	7032	41470
145	7073	41374
146	7128	41366
147	7166	41258
148	7219	41234
149	7273	41214
150	7313	41120
151	7349	41002
152	7413	41041
153	7442	40886
154	7476	40761
155	7491	40533
156	7554	40564
157	7606	40535
158	7655	40492
159	7685	40350
160	7732	40295
161	7780	40249
162	7975	40952
163	8029	40929
164	8069	40838
165	8108	40736
166	8162	40712
167	8212	40673
168	8232	40482
169	8260	40330
170	8291	40197
171	8320	40055
172	8367	39999
173	8415	39948
174	8441	39795
175	8472	39668
176	8524	39635
177	8572	39589
178	8633	39596
179	8674	39516
180	8706	39394
181	8738	39274
182	8770	39156
183	8798	39018
184	8855	39014
185	8866	38804
186	8897	38680
187	8943	38626
188	8985	38556
189	9169	39089
190	9209	39008
191	9246	38910
192	9278	38797
193	9339	38803
194	9390	38765
195	9456	38791
196	9496	38709
197	9530	38604
198	9562	38489
199	9592	38368
200	9634	38299
201	9685	38261
202	9752	38289
203	9789	38199
204	9835	38143
205	9865	38026
206	9931	38046
207	9984	38016
208	10012	37894
209	10065	37864
210	10118	37837
211	10156	37751
212	10509	38829
213	10579	38856
214	10663	38934
215	10698	38830
216	10749	38788
217	10808	38772
218	10881	38806
219	10967	38886
220	11001	38780
221	11051	38729
222	11102	38683
223	11153	38637
224	11188	38539
225	11229	38459
226	11275	38395
227	11321	38335
228	11367	38272
229	11385	38115
230	11426	38038
231	11484	38016
232	11527	37946
233	11766	38516
234	11897	38730
235	11943	38665
236	11985	38586
237	12032	38522
238	12055	38387
239	12104	38331
240	12153	38275
241	12195	38200
242	12243	38140
243	12288	38073
244	12332	38004
245	12371	37919
246	12424	37877
247	12447	37745
248	12489	37669
249	12502	37506
250	12545	37435
251	12586	37359
252	12631	37295
253	12693	37279
254	12771	37313
255	12846	37333
256	12888	37261
257	13068	37583
258	13135	37580
259	13175	37499
260	13207	37396
261	13222	37246
262	13269	37185
263	13317	37126
264	13365	37070
265	13436	37077
266	13498	37058
267	13548	37004
268	13625	37025
269	13683	36997
270	13735	36948
271	13765	36843
272	13825	36816
273	13865	36739
274	13903	36653
275	13948	36590
276	14001	36545
277	14080	36569
278	14340	37059
279	14439	37129
280	14462	37005
281	14496	36909
282	14510	36762
283	14555	36695
284	14607	36647
285	14653	36583
286	14694	36505
287	14737	36433
288	14783	36370
289	14850	36358
290	14884	36265
291	14950	36249
292	14963	36106
293	14992	36003
294	15039	35942
295	15081	35869
296	15138	35831
297	15184	35769
298	15235	35719
299	15276	35645
300	15316	35567
301	15361	35504
302	15401	35428
303	15666	35867
304	15714	35808
305	15778	35785
306	15803	35674
307	15850	35611
308	15888	35531
309	15935	35469
310	15995	35435
311	16049	35392
312	16094	35325
313	16146	35276
314	16193	35215
315	16257	35190
316	16329	35182
317	16390	35151
318	16469	35158
319	16487	35035
320	16531	34968
321	16615	34986
322	16659	34918
323	17083	35642
324	17129	35577
325	17168	35494
326	17211	35423
327	17253	35348
328	17295	35275
329	17337	35199
330	17344	35055
331	17382	34974
332	17429	34912
333	17490	34876
334	17530	34798
335	17572	34725
336	17614	34653
337	17655	34579
338	17685	34483
339	17718	34394
340	17772	34346
341	17810	34267
342	17853	34197
343	17906	34146
344	17948	34076
345	17987	33998
346	18029	33928
347	18061	33838
348	18152	33860
349	18353	34085
350	18446	34107
351	18503	34062
352	18575	34046
353	18599	33942
354	18664	33912
355	18732	33886
356	18816	33891
357	18874	33846
358	18904	33753
359	18969	33724
360	19035	33694
361	19098	33660
362	19120	33552
363	19167	33490
364	19212	33424
365	19242	33333
366	19275	33246
367	19340	33215
368	19522	33384
369	19593	33362
370	19642	33302
371	19688	33237
372	19733	33170
373	19772	33095
374	19819	33031
375	19879	32991
376	19921	32919
377	19980	32877
378	20014	32793
379	20074	32753
380	20110	32673
381	20165	32624
382	20203	32547
383	20248	32482
384	20283	32400
385	20331	32340
386	20372	32269
387	20424	32216
388	20437	32101
389	20474	32023
390	20512	31949
391	20568	31902
392	20887	32261
393	20923	32182
394	20965	32111
395	21010	32046
396	21058	31985
397	21117	31940
398	21167	31884
399	21187	31781
400	21235	31721
401	21280	31655
402	21319	31582
403	21348	31493
404	21382	31413
405	21426	31347
406	21466	31276
407	21515	31218
408	21580	31183
409	21601	31085
410	21663	31046
411	21719	30998
412	21769	30940
413	21797	30853
414	21850	30801
415	21906	30753
416	22095	30891
417	22138	30824
418	22195	30777
419	22212	30674
420	22259	30613
421	22307	30553
422	22364	30506
423	22407	30440
424	22452	30377
425	22498	30315
426	22534	30239
427	22581	30178
428	22627	30117
429	22711	30106
430	22745	30028
431	22795	29972
432	22847	29917
433	22881	29840
434	22921	29772
435	22964	29705
436	23012	29647
437	23056	29583
438	23251	29712
439	23336	29701
440	23384	29641
441	23429	29578
442	23459	29496
443	23512	29443
444	23558	29382
445	23610	29328
446	23649	29258
447	23677	29174
448	23720	29109
449	23764	29045
450	23775	28941
451	23807	28864
452	23837	28783
453	23887	28727
454	23926	28659
455	23963	28587
456	23995	28510
457	24055	28467
458	24102	28408
459	24147	28346
460	24166	28255
461	24195	28175
462	24255	28132
463	24321	28096
464	24511	28201
465	24550	28133
466	24611	28089
467	24659	28031
468	24706	27972
469	24752	27912
470	24785	27837
471	24823	27768
472	24871	27710
473	24924	27658
474	24967	27595
475	25018	27541
476	25070	27487
477	25093	27403
478	25153	27358
479	25199	27299
480	25252	27247
481	25294	27183
482	25310	27092
483	25382	27060
484	25461	27036
485	25494	26963
486	25670	27040
487	25763	27030
488	25821	26982
489	25911	26968
490	25976	26928
491	26018	26864
492	26092	26833
493	26159	26795
494	26218	26748
495	26272	26696
496	26323	26641
497	26367	26579
498	26400	26506
499	26488	26488
500	26537	26431
501	26579	26367
502	26653	26335
503	26714	26290
504	27010	26475
505	27139	26496
506	27189	26438
507	27231	26373
508	27278	26313
509	27372	26299
510	27456	26274
511	27515	26225
512	27569	26172
513	27643	26137
514	27691	26078
515	27737	26017
516	27773	25946
517	27814	25881
518	27864	25824
519	27920	25772
520	27971	25716
521	28106	25737
522	28280	25793
523	28446	25840
524	28500	25786
525	28546	25724
526	28611	25679
527	28657	25618
528	28719	25570
529	28774	25517
530	28833	25466
531	28878	25404
532	28933	25350
533	28973	25284
534	29045	25245
535	29095	25187
536	29141	25125
537	29200	25075
538	29246	25013
539	29305	24963
540	29366	24915
541	29543	24964
542	29695	24992
543	29743	24932
544	29782	24864
545	29834	24807
546	29858	24727
547	29887	24651
548	29932	24588
549	29990	24537
550	30032	24473
551	30075	24409
552	30118	24345
553	30175	24292
554	30224	24233
555	30276	24178
556	30322	24116
557	30364	24052
558	30415	23994
559	30448	23923
560	30477	23849
561	30506	23775
562	30574	23732
563	30619	23670
564	30680	23621
565	30876	23675
566	30922	23614
567	30975	23559
568	31028	23503
569	31061	23432
570	31101	23367
571	31166	23320
572	31233	23275
573	31279	23214
574	31302	23136
575	31359	23084
576	31417	23032
577	31478	22982
578	31533	22928
579	31610	22890
580	31676	22844
581	31765	22814
582	31810	22752
583	31855	22691
584	32137	22798
585	32259	22791
586	32318	22738
587	32365	22678
588	32420	22622
589	32484	22573
590	32534	22515
591	32580	22454
592	32633	22398
593	32661	22324
594	32704	22261
595	32758	22205
596	32804	22144
597	32852	22084
598	32885	22015
599	32925	21950
600	32964	21884
601	32990	21811
602	33057	21764
603	33118	21713
604	33145	21640
605	33183	21574
606	33227	21513
607	33517	21610
608	33561	21547
609	33616	21492
610	33638	21416
611	33677	21351
612	33736	21298
613	33784	21238
614	33825	21175
615	33878	21118
616	33983	21094
617	34033	21036
618	34072	20972
619	34164	20939
620	34222	20886
621	34258	20819
622	34298	20755
623	34321	20680
624	34363	20617
625	34402	20553
626	34463	20502
627	34664	20533
628	34850	20555
629	34909	20502
630	34955	20441
631	35016	20389
632	35064	20329
633	35124	20276
634	35176	20219
635	35242	20170
636	35273	20100
637	35316	20038
638	35362	19978
639	35403	19914
640	35440	19848
641	35498	19795
642	35536	19730
643	35600	19679
644	35671	19632
645	35716	19572
646	35763	19512
647	36101	19610
648	36161	19557
649	36205	19495
650	36260	19439
651	36306	19378
652	36359	19321
653	36429	19272
654	36450	19199
655	36513	19147
656	36596	19105
657	36639	19043
658	36679	18979
659	36733	18923
660	36777	18861
661	36843	18811
662	36910	18761
663	37011	18728
664	37073	18676
665	37293	18702
666	37402	18672
667	37456	18616
668	37512	18559
669	37590	18514
670	37642	18456
671	37702	18402
672	37740	18337
673	37792	18279
674	37829	18213
675	37869	18150
676	37906	18085
677	37969	18032
678	38044	17985
679	38110	17934
680	38163	17876
681	38227	17824
682	38264	17759
683	38315	17701
684	38368	17643
685	38571	17655
686	38626	17598
687	38682	17542
688	38726	17480
689	38782	17423
690	38859	17377
691	38913	17319
692	38959	17258
693	38981	17187
694	39020	17124
695	39088	17073
696	39151	17019
697	39193	16957
698	39242	16898
699	39298	16842
700	39370	16792
701	39430	16738
702	39477	16678
703	39532	16621
704	39571	16558
705	39746	16551
706	39830	16506
707	39887	16450
708	39938	16392
709	39987	16333
710	40033	16272
711	40080	16212
712	40136	16156
713	40186	16097
714	40231	16036
715	40280	15977
716	40324	15915
717	40368	15855
718	40413	15794
719	40465	15736
720	40538	15686
721	40579	15624
722	40642	15571
723	40697	15514
724	40749	15456
725	40797	15397
726	41134	15446
727	41251	15412
728	41305	15355
729	41384	15306
730	41432	15246
731	41511	15198
732	41572	15143
733	41630	15086
734	41674	15025
735	41709	14960
736	41754	14900
737	41809	14842
738	41857	14783
739	41894	14719
740	41983	14674
741	42055	14623
742	42094	14560
743	42134	14497
744	42185	14439
745	42226	14377
746	42441	14374
747	42488	14314
748	42525	14250
749	42560	14186
750	42595	14122
751	42646	14064
752	42719	14012
753	42783	13958
754	42826	13897
755	42884	13841
756	42928	13780
757	42990	13725
758	43040	13666
759	43076	13602
760	43118	13541
761	43178	13486
762	43225	13426
763	43289	13372
764	43337	13312
765	43389	13254
766	43452	13199
767	43695	13199
768	43758	13144
769	43796	13081
770	43830	13018
771	43879	12959
772	43926	12899
773	43964	12837
774	44010	12777
775	44051	12715
776	44102	12657
777	44141	12595
778	44179	12533
779	44223	12473
780	44259	12410
781	44303	12350
782	44359	12293
783	44411	12235
784	44452	12174
785	44490	12113
786	44521	12049
787	44568	11990
788	44624	11933
789	44663	11872
790	44713	11814
791	45049	11831
792	45098	11772
793	45162	11717
794	45210	11658
795	45258	11599
796	45309	11540
797	45353	11480
798	45409	11423
799	45446	11361
800	45490	11301
801	45526	11239
802	45580	11182
803	45629	11123
804	45684	11066
805	45721	11004
806	45775	10947
807	45816	10886
808	45842	10823
809	45896	10765
810	45929	10703
811	45998	10649
812	46038	10589
813	46058	10524
814	46285	10506
815	46338	10448
816	46385	10389
817	46423	10329
818	46474	10270
819	46525	10212
820	46572	10153
821	46618	10095
822	46666	10036
823	46710	9977
824	46761	9919
825	46805	9859
826	46853	9801
827	46939	9750
828	46996	9694
829	47032	9633
830	47090	9576
831	47125	9515
832	47176	9458
833	47236	9401
834	47282	9343
835	47552	9328
836	47605	9270
837	47656	9212
838	47695	9152
839	47756	9096
840	47806	9038
841	47866	8982
842	47907	8922
843	47946	8862
844	48006	8806
845	48076	8751
846	48128	8693
847	48200	8639
848	48227	8577
849	48266	8517
850	48350	8465
851	48417	8410
852	48483	8355
853	48546	8299
854	48818	8279
855	48863	8220
856	48904	8160
857	48960	8102
858	49018	8046
859	49073	7988
860	49155	7935
861	49206	7877
862	49246	7817
863	49294	7759
864	49355	7702
865	49420	7647
866	49473	7589
867	49520	7530
868	49582	7474
869	49626	7415
870	49693	7359
871	49731	7300
872	49786	7242
873	50057	7216
874	50191	7170
875	50231	7110
876	50266	7049
877	50295	6988
878	50342	6929
879	50400	6872
880	50432	6812
881	50469	6752
882	50504	6692
883	50547	6632
884	50581	6572
885	50641	6515
886	50672	6455
887	50704	6395
888	50745	6335
889	50801	6278
890	50842	6219
891	50871	6159
892	50916	6100
893	50977	6044
894	51033	5987
895	51073	5928
896	51109	5868
897	51167	5811
898	51409	5775
899	51462	5718
900	51509	5659
901	51570	5603
902	51615	5544
903	51658	5485
904	51706	5427
905	51752	5369
906	51827	5314
907	51878	5256
908	51925	5198
909	51971	5140
910	52033	5083
911	52080	5025
912	52147	4969
913	52203	4911
914	52248	4853
915	52287	4794
916	52335	4737
917	52408	4681
918	52662	4641
919	52820	4593
920	52871	4535
921	52917	4476
922	52957	4417
923	53004	4359
924	53037	4300
925	53086	4242
926	53137	4184
927	53190	4126
928	53241	4069
929	53275	4009
930	53319	3951
931	53367	3893
932	53428	3836
933	53477	3778
934	53511	3720
935	53549	3661
936	53612	3604
937	53676	3547
938	53740	3491
939	54093	3452
940	54144	3394
941	54199	3337
942	54245	3278
943	54288	3220
944	54330	3162
945	54375	3103
946	54422	3045
947	54460	2987
948	54498	2928
949	54537	2870
950	54571	2811
951	54641	2755
952	54688	2697
953	54745	2639
954	54792	2581
955	54851	2524
956	54898	2466
957	54943	2408
958	55001	2351
959	55073	2294
960	55251	2242
961	55383	2187
962	55452	2130
963	55521	2073
964	55603	2016
965	55657	1958
966	55703	1900
967	55757	1843
968	55814	1785
969	55870	1727
970	55928	1670
971	55974	1612
972	56008	1554
973	56063	1496
974	56102	1438
975	56171	1381
976	56231	1323
977	56289	1266
978	56344	1208
979	56593	1154
980	56642	1097
981	56688	1039
982	56726	981
983	56768	923
984	56816	865
985	56866	807
986	56921	749
987	56952	691
988	56995	633
989	57046	576
990	57112	518
991	57156	460
992	57215	403
993	57267	345
994	57319	288
995	57359	230
996	57400	172
997	57456	115
998	57511	57
999	57570	0
