iter	F1	Logloss	Accuracy	Precision	Recall
0	0.4630872483	0.6887618976	0.75	0.6509433962	0.359375
1	0.4175824176	0.6858384124	0.7515625	0.7037037037	0.296875
2	0.4306569343	0.6819587075	0.75625	0.7195121951	0.3072916667
3	0.4775086505	0.6782944351	0.7640625	0.7113402062	0.359375
4	0.4647887324	0.6742661783	0.7625	0.7173913043	0.34375
5	0.440433213	0.6714559725	0.7578125	0.7176470588	0.3177083333
6	0.4788732394	0.667715021	0.76875	0.7391304348	0.3541666667
7	0.4697508897	0.6643193447	0.7671875	0.7415730337	0.34375
8	0.4748201439	0.6609557977	0.771875	0.7674418605	0.34375
9	0.4782608696	0.6580503422	0.775	0.7857142857	0.34375
10	0.4874551971	0.6546710955	0.7765625	0.7816091954	0.3541666667
11	0.498245614	0.6507003729	0.7765625	0.7634408602	0.3697916667
12	0.4825174825	0.6475752645	0.76875	0.7340425532	0.359375
13	0.4825174825	0.6443092451	0.76875	0.7340425532	0.359375
14	0.4982698962	0.6404113156	0.7734375	0.7422680412	0.375
15	0.5034482759	0.6373582654	0.775	0.7448979592	0.3802083333
16	0.5103448276	0.6350726509	0.778125	0.7551020408	0.3854166667
17	0.5122807018	0.6325189369	0.7828125	0.7849462366	0.3802083333
18	0.5017667845	0.6304520754	0.7796875	0.7802197802	0.3697916667
19	0.5017421603	0.6274135534	0.7765625	0.7578947368	0.375
20	0.4822695035	0.6253337048	0.771875	0.7555555556	0.3541666667
21	0.4714285714	0.6234391393	0.76875	0.75	0.34375
22	0.5103448276	0.6208787485	0.778125	0.7551020408	0.3854166667
23	0.498245614	0.618311319	0.7765625	0.7634408602	0.3697916667
24	0.5154639175	0.6152496416	0.7796875	0.7575757576	0.390625
25	0.5187713311	0.6127180496	0.7796875	0.7524752475	0.3958333333
26	0.5288135593	0.6101255958	0.7828125	0.7572815534	0.40625
27	0.5238095238	0.6083083938	0.78125	0.7549019608	0.4010416667
28	0.5205479452	0.6063399636	0.78125	0.76	0.3958333333
29	0.5208333333	0.6045754249	0.784375	0.78125	0.390625
30	0.5208333333	0.6025974938	0.784375	0.78125	0.390625
31	0.5296167247	0.5999555565	0.7890625	0.8	0.3958333333
32	0.5226480836	0.5976617313	0.7859375	0.7894736842	0.390625
33	0.537414966	0.5954269893	0.7875	0.7745098039	0.4114583333
34	0.5277777778	0.5927830251	0.7875	0.7916666667	0.3958333333
35	0.5296167247	0.5914034707	0.7890625	0.8	0.3958333333
36	0.5226480836	0.5894466293	0.7859375	0.7894736842	0.390625
37	0.5263157895	0.5880400932	0.7890625	0.8064516129	0.390625
38	0.5285714286	0.5867708711	0.79375	0.8409090909	0.3854166667
39	0.5244755245	0.5843943785	0.7875	0.7978723404	0.390625
40	0.5263157895	0.5825188836	0.7890625	0.8064516129	0.390625
41	0.5281690141	0.5801975243	0.790625	0.8152173913	0.390625
42	0.524822695	0.5782439722	0.790625	0.8222222222	0.3854166667
43	0.5319148936	0.5767648806	0.79375	0.8333333333	0.390625
44	0.5285714286	0.5754512784	0.79375	0.8409090909	0.3854166667
45	0.5357142857	0.573419963	0.796875	0.8522727273	0.390625
46	0.5357142857	0.5715635676	0.796875	0.8522727273	0.390625
47	0.5376344086	0.5701120205	0.7984375	0.8620689655	0.390625
48	0.5270758123	0.5690898034	0.7953125	0.8588235294	0.3802083333
49	0.5163636364	0.5667428229	0.7921875	0.8554216867	0.3697916667
50	0.5182481752	0.5655662578	0.79375	0.8658536585	0.3697916667
51	0.5092250923	0.5640402581	0.7921875	0.8734177215	0.359375
52	0.5092250923	0.5630471271	0.7921875	0.8734177215	0.359375
53	0.5037037037	0.5608576211	0.790625	0.8717948718	0.3541666667
54	0.5236363636	0.5590337846	0.7953125	0.8674698795	0.375
55	0.5342960289	0.5570704548	0.7984375	0.8705882353	0.3854166667
56	0.5304659498	0.5560580585	0.7953125	0.8505747126	0.3854166667
57	0.523297491	0.5547189756	0.7921875	0.8390804598	0.3802083333
58	0.5179856115	0.5535485901	0.790625	0.8372093023	0.375
59	0.5434782609	0.5519769615	0.803125	0.8928571429	0.390625
60	0.5415162455	0.5503402667	0.8015625	0.8823529412	0.390625
61	0.5255474453	0.5495673479	0.796875	0.8780487805	0.375
62	0.5018726592	0.5488221866	0.7921875	0.8933333333	0.3489583333
63	0.5347985348	0.54712463	0.8015625	0.9012345679	0.3802083333
64	0.5274725275	0.5453587427	0.7984375	0.8888888889	0.375
65	0.5185185185	0.543534412	0.796875	0.8974358974	0.3645833333
66	0.5130111524	0.5430764597	0.7953125	0.8961038961	0.359375
67	0.5313653137	0.5415452178	0.8015625	0.9113924051	0.375
68	0.5313653137	0.5406734776	0.8015625	0.9113924051	0.375
69	0.5204460967	0.5396448615	0.7984375	0.9090909091	0.3645833333
70	0.5259259259	0.5383266694	0.8	0.9102564103	0.3697916667
71	0.5313653137	0.5364877866	0.8015625	0.9113924051	0.375
72	0.5347985348	0.5352396019	0.8015625	0.9012345679	0.3802083333
73	0.5294117647	0.5338178623	0.8	0.9	0.375
74	0.5294117647	0.5327095169	0.8	0.9	0.375
75	0.5239852399	0.5311996199	0.7984375	0.8987341772	0.3697916667
76	0.5259259259	0.5309557474	0.8	0.9102564103	0.3697916667
77	0.5204460967	0.5295124683	0.7984375	0.9090909091	0.3645833333
78	0.5274725275	0.5280696347	0.7984375	0.8888888889	0.375
79	0.5255474453	0.5268577982	0.796875	0.8780487805	0.375
80	0.5220588235	0.5266376033	0.796875	0.8875	0.3697916667
81	0.5166051661	0.5254790272	0.7953125	0.8860759494	0.3645833333
82	0.5166051661	0.524968971	0.7953125	0.8860759494	0.3645833333
83	0.5220588235	0.5234707278	0.796875	0.8875	0.3697916667
84	0.5309090909	0.5220155828	0.7984375	0.8795180723	0.3802083333
85	0.5362318841	0.5208059796	0.8	0.880952381	0.3854166667
86	0.5274725275	0.5198042264	0.7984375	0.8888888889	0.375
87	0.5274725275	0.518610939	0.7984375	0.8888888889	0.375
88	0.5328467153	0.5180121227	0.8	0.8902439024	0.3802083333
89	0.5294117647	0.5176540886	0.8	0.9	0.375
90	0.5294117647	0.5165387484	0.8	0.9	0.375
91	0.5185185185	0.5163711117	0.796875	0.8974358974	0.3645833333
92	0.5239852399	0.5152410556	0.7984375	0.8987341772	0.3697916667
93	0.5239852399	0.5145203811	0.7984375	0.8987341772	0.3697916667
94	0.5239852399	0.5134880463	0.7984375	0.8987341772	0.3697916667
95	0.5239852399	0.5127277659	0.7984375	0.8987341772	0.3697916667
96	0.5239852399	0.5113954725	0.7984375	0.8987341772	0.3697916667
97	0.5185185185	0.5105644194	0.796875	0.8974358974	0.3645833333
98	0.5130111524	0.5097706416	0.7953125	0.8961038961	0.359375
99	0.5130111524	0.5089514553	0.7953125	0.8961038961	0.359375
100	0.5130111524	0.5087025269	0.7953125	0.8961038961	0.359375
101	0.5185185185	0.5082626969	0.796875	0.8974358974	0.3645833333
102	0.5130111524	0.5074150663	0.7953125	0.8961038961	0.359375
103	0.5130111524	0.506431114	0.7953125	0.8961038961	0.359375
104	0.5130111524	0.5063106741	0.7953125	0.8961038961	0.359375
105	0.5239852399	0.5050868334	0.7984375	0.8987341772	0.3697916667
106	0.5274725275	0.5039981608	0.7984375	0.8888888889	0.375
107	0.5328467153	0.502592254	0.8	0.8902439024	0.3802083333
108	0.5362318841	0.5017398954	0.8	0.880952381	0.3854166667
109	0.5328467153	0.5009189969	0.8	0.8902439024	0.3802083333
110	0.5328467153	0.5004324884	0.8	0.8902439024	0.3802083333
111	0.5347985348	0.4993243996	0.8015625	0.9012345679	0.3802083333
112	0.5347985348	0.4982988487	0.8015625	0.9012345679	0.3802083333
113	0.5347985348	0.4975655301	0.8015625	0.9012345679	0.3802083333
114	0.5347985348	0.4967931415	0.8015625	0.9012345679	0.3802083333
115	0.5347985348	0.4957686561	0.8015625	0.9012345679	0.3802083333
116	0.5347985348	0.4951595181	0.8015625	0.9012345679	0.3802083333
117	0.5328467153	0.4941868586	0.8	0.8902439024	0.3802083333
118	0.5362318841	0.4929511643	0.8	0.880952381	0.3854166667
119	0.5467625899	0.491916743	0.803125	0.8837209302	0.3958333333
120	0.5571428571	0.4908890874	0.80625	0.8863636364	0.40625
121	0.5467625899	0.4906126771	0.803125	0.8837209302	0.3958333333
122	0.5415162455	0.4902029673	0.8015625	0.8823529412	0.390625
123	0.5519713262	0.4895509867	0.8046875	0.8850574713	0.4010416667
124	0.5519713262	0.4890935528	0.8046875	0.8850574713	0.4010416667
125	0.5467625899	0.488241419	0.803125	0.8837209302	0.3958333333
126	0.5415162455	0.4875644856	0.8015625	0.8823529412	0.390625
127	0.5519713262	0.4868744537	0.8046875	0.8850574713	0.4010416667
128	0.5415162455	0.4863771058	0.8015625	0.8823529412	0.390625
129	0.5467625899	0.4855650558	0.803125	0.8837209302	0.3958333333
130	0.5467625899	0.4848128318	0.803125	0.8837209302	0.3958333333
131	0.5467625899	0.4842034678	0.803125	0.8837209302	0.3958333333
132	0.5551601423	0.4834260239	0.8046875	0.8764044944	0.40625
133	0.5571428571	0.4821515461	0.80625	0.8863636364	0.40625
134	0.5622775801	0.4815782146	0.8078125	0.8876404494	0.4114583333
135	0.5519713262	0.4812073906	0.8046875	0.8850574713	0.4010416667
136	0.5519713262	0.4805807825	0.8046875	0.8850574713	0.4010416667
137	0.5571428571	0.4797765687	0.80625	0.8863636364	0.40625
138	0.5571428571	0.4790759726	0.80625	0.8863636364	0.40625
139	0.5622775801	0.478597148	0.8078125	0.8876404494	0.4114583333
140	0.5571428571	0.4785076344	0.80625	0.8863636364	0.40625
141	0.5571428571	0.4777055276	0.80625	0.8863636364	0.40625
142	0.5622775801	0.4774260316	0.8078125	0.8876404494	0.4114583333
143	0.5519713262	0.4765883005	0.8046875	0.8850574713	0.4010416667
144	0.5519713262	0.4761747846	0.8046875	0.8850574713	0.4010416667
145	0.5519713262	0.4749934885	0.8046875	0.8850574713	0.4010416667
146	0.5519713262	0.4748417141	0.8046875	0.8850574713	0.4010416667
147	0.5519713262	0.4748019065	0.8046875	0.8850574713	0.4010416667
148	0.5467625899	0.4742682899	0.803125	0.8837209302	0.3958333333
149	0.5467625899	0.4740009427	0.803125	0.8837209302	0.3958333333
150	0.5539568345	0.473486613	0.80625	0.8953488372	0.4010416667
151	0.5487364621	0.4729715927	0.8046875	0.8941176471	0.3958333333
152	0.5539568345	0.472299631	0.80625	0.8953488372	0.4010416667
153	0.5487364621	0.47181797	0.8046875	0.8941176471	0.3958333333
154	0.5539568345	0.4712722027	0.80625	0.8953488372	0.4010416667
155	0.5539568345	0.4702963404	0.80625	0.8953488372	0.4010416667
156	0.5539568345	0.4698212889	0.80625	0.8953488372	0.4010416667
157	0.5591397849	0.4691097875	0.8078125	0.8965517241	0.40625
158	0.5642857143	0.4688836581	0.809375	0.8977272727	0.4114583333
159	0.5642857143	0.4679950476	0.809375	0.8977272727	0.4114583333
160	0.5673758865	0.4672063095	0.809375	0.8888888889	0.4166666667
161	0.5724381625	0.4665383281	0.8109375	0.8901098901	0.421875
162	0.5774647887	0.4661645403	0.8125	0.8913043478	0.4270833333
163	0.5874125874	0.4655893393	0.815625	0.8936170213	0.4375
164	0.5774647887	0.4648016882	0.8125	0.8913043478	0.4270833333
165	0.5774647887	0.4641294616	0.8125	0.8913043478	0.4270833333
166	0.5774647887	0.4636906098	0.8125	0.8913043478	0.4270833333
167	0.5774647887	0.4634772637	0.8125	0.8913043478	0.4270833333
168	0.5774647887	0.4626332057	0.8125	0.8913043478	0.4270833333
169	0.5923344948	0.461710694	0.8171875	0.8947368421	0.4427083333
170	0.5874125874	0.4610693836	0.815625	0.8936170213	0.4375
171	0.5923344948	0.4606748428	0.8171875	0.8947368421	0.4427083333
172	0.5923344948	0.4598049363	0.8171875	0.8947368421	0.4427083333
173	0.5972222222	0.4591879787	0.81875	0.8958333333	0.4479166667
174	0.5951557093	0.4587088405	0.8171875	0.8865979381	0.4479166667
175	0.6	0.4581631255	0.81875	0.887755102	0.453125
176	0.6	0.4575677804	0.81875	0.887755102	0.453125
177	0.5979381443	0.4567794664	0.8171875	0.8787878788	0.453125
178	0.5979381443	0.456522124	0.8171875	0.8787878788	0.453125
179	0.5979381443	0.4558804457	0.8171875	0.8787878788	0.453125
180	0.6048109966	0.4553764795	0.8203125	0.8888888889	0.4583333333
181	0.6048109966	0.4551845102	0.8203125	0.8888888889	0.4583333333
