iter	Passed	Remaining
0	235	235303
1	278	139006
2	329	109526
3	391	97367
4	450	89701
5	471	78179
6	511	72522
7	567	70410
8	599	65986
9	626	61980
10	685	61671
11	736	60637
12	782	59379
13	819	57737
14	891	58568
15	948	58333
16	1000	57878
17	1063	58037
18	1085	56047
19	1146	56199
20	1161	54164
21	1182	52554
22	1245	52897
23	1627	66169
24	1668	65056
25	1722	64520
26	1767	63696
27	1792	62214
28	1825	61110
29	1845	59686
30	1869	58442
31	1922	58170
32	1961	57479
33	2001	56858
34	2064	56933
35	2103	56332
36	2140	55700
37	2151	54472
38	2166	53388
39	2201	52838
40	2240	52408
41	2281	52048
42	2319	51624
43	2365	51403
44	2405	51042
45	2442	50665
46	2499	50680
47	2536	50314
48	2559	49665
49	2614	49678
50	2771	51567
51	2909	53047
52	2925	52276
53	2980	52211
54	3017	51842
55	3073	51803
56	3102	51331
57	3149	51144
58	3184	50794
59	3215	50375
60	3280	50495
61	3302	49968
62	3358	49953
63	3388	49562
64	3427	49304
65	3471	49127
66	3482	48496
67	3529	48374
68	3572	48207
69	3600	47829
70	3649	47753
71	3694	47622
72	3732	47392
73	3765	47123
74	3802	46893
75	3839	46678
76	3845	46091
77	3897	46074
78	4172	48640
79	4221	48541
80	4228	47976
81	4270	47813
82	4294	47449
83	4344	47373
84	4378	47131
85	4422	47005
86	4485	47077
87	4526	46909
88	4596	47050
89	4624	46760
90	4686	46816
91	4695	46347
92	4739	46222
93	4781	46089
94	4827	45988
95	4884	45993
96	4919	45795
97	4976	45806
98	5026	45742
99	5083	45750
100	5136	45721
101	5352	47124
102	5401	47041
103	5480	47215
104	5487	46774
105	5525	46601
106	5578	46557
107	5623	46448
108	5670	46350
109	5744	46476
110	5794	46406
111	5831	46233
112	5865	46045
113	5931	46102
114	5981	46033
115	6054	46141
116	6119	46181
117	6182	46212
118	6229	46116
119	6288	46112
120	6568	47717
121	6792	48882
122	6864	48941
123	6918	48878
124	6964	48751
125	7013	48645
126	7057	48510
127	7108	48423
128	7154	48304
129	7193	48138
130	7237	48007
131	7297	47984
132	7341	47856
133	7382	47713
134	7421	47551
135	7437	47251
136	7472	47073
137	7525	47007
138	7591	47025
139	7638	46925
140	7652	46619
141	7696	46501
142	7730	46331
143	7767	46172
144	7840	46229
145	8043	47047
146	8190	47528
147	8200	47206
148	8248	47109
149	8283	46937
150	8324	46803
151	8372	46707
152	8428	46660
153	8471	46536
154	8508	46385
155	8564	46338
156	8618	46274
157	8660	46153
158	8695	45992
159	8746	45917
160	8784	45777
161	8832	45687
162	8877	45584
163	8933	45539
164	8988	45485
165	9021	45325
166	9057	45178
167	9091	45022
168	9171	45100
169	9390	45849
170	9499	46053
171	9536	45909
172	9596	45873
173	9633	45730
174	9669	45584
175	9708	45453
176	9743	45304
177	9786	45192
178	9829	45081
179	9871	44968
180	9914	44862
181	9952	44731
182	9990	44600
183	10029	44479
184	10077	44396
185	10109	44244
186	10141	44090
187	10177	43958
188	10240	43943
189	10289	43865
190	10337	43787
191	10383	43696
192	10456	43721
193	10879	45199
194	10923	45092
195	10949	44914
196	10986	44781
197	10991	44522
198	11010	44316
199	11072	44291
200	11137	44271
201	11176	44152
202	11231	44097
203	11262	43944
204	11323	43912
205	11369	43823
206	11418	43743
207	11459	43633
208	11533	43651
209	11595	43621
210	11631	43493
211	11667	43369
212	11728	43333
213	11774	43246
214	11818	43151
215	11851	43016
216	11907	42967
217	12127	43503
218	12175	43420
219	12214	43305
220	12251	43183
221	12263	42977
222	12308	42886
223	12343	42760
224	12366	42594
225	12372	42372
226	12409	42257
227	12475	42240
228	12535	42203
229	12592	42156
230	12626	42034
231	12665	41926
232	12698	41800
233	12741	41710
234	12791	41641
235	12829	41533
236	12875	41450
237	12931	41401
238	12974	41312
239	13019	41228
240	13066	41151
241	13089	40999
242	13133	40913
243	13354	41376
244	13413	41335
245	13450	41225
246	13489	41124
247	13535	41043
248	13593	40997
249	13637	40912
250	13688	40847
251	13717	40716
252	13763	40637
253	13797	40522
254	13841	40438
255	13892	40374
256	13925	40260
257	13937	40083
258	13969	39967
259	14002	39853
260	14032	39731
261	14064	39616
262	14112	39546
263	14157	39468
264	14190	39359
265	14238	39289
266	14270	39176
267	14318	39108
268	14353	39005
269	14387	38900
270	14768	39728
271	14833	39702
272	14880	39627
273	14919	39530
274	14954	39425
275	15005	39361
276	15051	39285
277	15092	39198
278	15151	39153
279	15208	39106
280	15259	39045
281	15306	38971
282	15346	38881
283	15402	38832
284	15448	38757
285	15489	38668
286	15544	38617
287	15616	38606
288	15663	38534
289	15710	38462
290	15736	38340
291	15816	38350
292	16026	38670
293	16061	38569
294	16112	38506
295	16156	38425
296	16203	38353
297	16246	38271
298	16284	38178
299	16314	38067
300	16349	37968
301	16379	37856
302	16419	37769
303	16463	37693
304	16470	37531
305	16511	37447
306	16543	37343
307	16574	37239
308	16611	37146
309	16673	37111
310	16735	37076
311	16770	36982
312	16817	36912
313	16862	36840
314	16912	36777
315	16944	36677
316	16969	36561
317	17056	36579
318	17334	37004
319	17376	36924
320	17412	36831
