iter	Passed	Remaining
0	12	12171
1	32	16051
2	131	43867
3	147	36738
4	201	40172
5	233	38696
6	263	37309
7	307	38106
8	344	37913
9	385	38207
10	421	37931
11	449	37024
12	481	36527
13	494	34841
14	533	35007
15	566	34857
16	602	34853
17	618	33742
18	655	33844
19	681	33409
20	711	33188
21	737	32784
22	772	32823
23	795	32341
24	818	31921
25	846	31697
26	873	31470
27	901	31289
28	937	31406
29	999	32310
30	1028	32163
31	1065	32239
32	1115	32688
33	1301	36986
34	1345	37084
35	1373	36790
36	1423	37036
37	1439	36447
38	1478	36423
39	1514	36339
40	1544	36128
41	1581	36083
42	1618	36018
43	1683	36579
44	1717	36450
45	1759	36486
46	1810	36710
47	1826	36223
48	1857	36045
49	1885	35831
50	1894	35256
51	1928	35153
52	1987	35504
53	2033	35617
54	2040	35057
55	2065	34826
56	2128	35213
57	2167	35207
58	2196	35033
59	2234	35002
60	2264	34860
61	2310	34954
62	2434	36205
63	2476	36212
64	2502	36001
65	2532	35835
66	2585	36005
67	2595	35577
68	2638	35604
69	2659	35328
70	2714	35513
71	2744	35373
72	2776	35256
73	2809	35156
74	2840	35031
75	2879	35005
76	2918	34982
77	2972	35140
78	3015	35156
79	3064	35246
80	3073	34875
81	3086	34550
82	3110	34369
83	3155	34410
84	3205	34506
85	3231	34347
86	3236	33968
87	3250	33691
88	3293	33711
89	3355	33930
90	3392	33886
91	3541	34949
92	3589	35010
93	3605	34755
94	3645	34726
95	3693	34776
96	3738	34805
97	3743	34458
98	3772	34329
99	3816	34344
100	3848	34251
101	3891	34261
102	3923	34167
103	3957	34098
104	4002	34113
105	4062	34261
106	4100	34218
107	4149	34268
108	4251	34752
109	4273	34574
110	4285	34320
111	4334	34367
112	4375	34346
113	4394	34154
114	4439	34166
115	4488	34204
116	4510	34043
117	4633	34631
118	4667	34555
119	4677	34303
120	4702	34163
121	4730	34046
122	4753	33895
123	4763	33649
124	4804	33631
125	4850	33646
126	4898	33669
127	4950	33725
128	4977	33607
129	5036	33706
130	5070	33634
131	5116	33645
132	5171	33714
133	5217	33720
134	5251	33645
135	5302	33685
136	5349	33697
137	5381	33614
138	5413	33533
139	5444	33444
140	5475	33357
141	5515	33327
142	5553	33282
143	5601	33295
144	5856	34531
145	5893	34474
146	5951	34534
147	6003	34561
148	6033	34459
149	6078	34443
150	6096	34278
151	6129	34194
152	6160	34104
153	6197	34043
154	6243	34034
155	6273	33941
156	6306	33860
157	6327	33720
158	6363	33657
159	6402	33613
160	6464	33686
161	6511	33683
162	6554	33655
163	6582	33556
164	6592	33362
165	6629	33307
166	6659	33217
167	6670	33033
168	6721	33051
169	6749	32951
170	6782	32882
171	6816	32816
172	6858	32784
173	7020	33326
174	7056	33265
