iter	F1	Logloss	Accuracy	Precision	Recall
0	0	0.6900492768	0.7	1	0
1	0	0.686936909	0.7	1	0
2	0	0.6839163153	0.7	1	0
3	0.02051282051	0.6806336968	0.7015625	0.6666666667	0.01041666667
4	0.3263598326	0.6762306079	0.7484375	0.829787234	0.203125
5	0.4098360656	0.6722256212	0.775	0.9615384615	0.2604166667
6	0.4626865672	0.6686741426	0.775	0.8157894737	0.3229166667
7	0.4671532847	0.6649653526	0.771875	0.7804878049	0.3333333333
8	0.4839857651	0.661642215	0.7734375	0.7640449438	0.3541666667
9	0.5017421603	0.6580653843	0.7765625	0.7578947368	0.375
10	0.4874551971	0.654225236	0.7765625	0.7816091954	0.3541666667
11	0.4285714286	0.6523691832	0.7625	0.7702702703	0.296875
12	0.4419475655	0.6494655175	0.7671875	0.7866666667	0.3072916667
13	0.4182509506	0.6471973995	0.7609375	0.7746478873	0.2864583333
14	0.4436090226	0.6436445299	0.76875	0.7972972973	0.3072916667
15	0.427480916	0.6407744924	0.765625	0.8	0.2916666667
16	0.447761194	0.6376978493	0.76875	0.7894736842	0.3125
17	0.433460076	0.6355609113	0.7671875	0.8028169014	0.296875
18	0.4410646388	0.6324912926	0.7703125	0.8169014085	0.3020833333
19	0.4307692308	0.6304804417	0.76875	0.8235294118	0.2916666667
20	0.416988417	0.627729401	0.7640625	0.8059701493	0.28125
21	0.4291187739	0.6242005961	0.7671875	0.8115942029	0.2916666667
22	0.416988417	0.6210614702	0.7640625	0.8059701493	0.28125
23	0.4214559387	0.6189832251	0.7640625	0.7971014493	0.2864583333
24	0.40625	0.6174643832	0.7625	0.8125	0.2708333333
25	0.390438247	0.6156702189	0.7609375	0.8305084746	0.2552083333
26	0.384	0.6138875808	0.759375	0.8275862069	0.25
27	0.384	0.611572415	0.759375	0.8275862069	0.25
28	0.384	0.6099326367	0.759375	0.8275862069	0.25
29	0.40625	0.6070859513	0.7625	0.8125	0.2708333333
30	0.4247104247	0.604414897	0.7671875	0.8208955224	0.2864583333
31	0.4186046512	0.6023406134	0.765625	0.8181818182	0.28125
32	0.4307692308	0.6000058392	0.76875	0.8235294118	0.2916666667
33	0.4263565891	0.597780437	0.76875	0.8333333333	0.2864583333
34	0.4263565891	0.5964139604	0.76875	0.8333333333	0.2864583333
35	0.4324324324	0.5943761581	0.7703125	0.8358208955	0.2916666667
36	0.4263565891	0.5924568238	0.76875	0.8333333333	0.2864583333
37	0.420233463	0.5912203129	0.7671875	0.8307692308	0.28125
38	0.420233463	0.5895285979	0.7671875	0.8307692308	0.28125
39	0.4156862745	0.5874755312	0.7671875	0.8412698413	0.2760416667
40	0.4357976654	0.5847769579	0.7734375	0.8615384615	0.2916666667
41	0.4296875	0.5830407955	0.771875	0.859375	0.2864583333
42	0.4296875	0.5809947125	0.771875	0.859375	0.2864583333
43	0.4324324324	0.5792129416	0.7703125	0.8358208955	0.2916666667
44	0.427480916	0.5776101301	0.765625	0.8	0.2916666667
45	0.4452830189	0.5754920837	0.7703125	0.8082191781	0.3072916667
46	0.447761194	0.5735379185	0.76875	0.7894736842	0.3125
47	0.447761194	0.5724886281	0.76875	0.7894736842	0.3125
48	0.4410646388	0.5718704038	0.7703125	0.8169014085	0.3020833333
49	0.446969697	0.570728615	0.771875	0.8194444444	0.3072916667
50	0.446969697	0.5697371694	0.771875	0.8194444444	0.3072916667
51	0.456928839	0.5676227502	0.7734375	0.8133333333	0.3177083333
52	0.4626865672	0.5658801361	0.775	0.8157894737	0.3229166667
53	0.4535315985	0.5642578331	0.7703125	0.7922077922	0.3177083333
54	0.4511278195	0.5638259886	0.771875	0.8108108108	0.3125
55	0.456928839	0.5626749291	0.7734375	0.8133333333	0.3177083333
56	0.4552238806	0.5607647239	0.771875	0.8026315789	0.3177083333
57	0.4552238806	0.5590687422	0.771875	0.8026315789	0.3177083333
58	0.4494382022	0.5572489088	0.7703125	0.8	0.3125
59	0.4592592593	0.5553338872	0.771875	0.7948717949	0.3229166667
60	0.4592592593	0.5542171555	0.771875	0.7948717949	0.3229166667
61	0.4609665428	0.5532423173	0.7734375	0.8051948052	0.3229166667
62	0.4552238806	0.5522426734	0.771875	0.8026315789	0.3177083333
63	0.4723247232	0.550596573	0.7765625	0.8101265823	0.3333333333
64	0.4723247232	0.5498934407	0.7765625	0.8101265823	0.3333333333
65	0.4723247232	0.5491704993	0.7765625	0.8101265823	0.3333333333
66	0.4705882353	0.5479487825	0.775	0.8	0.3333333333
67	0.4609665428	0.5475183489	0.7734375	0.8051948052	0.3229166667
68	0.4626865672	0.5465771561	0.775	0.8157894737	0.3229166667
69	0.4626865672	0.5458493432	0.775	0.8157894737	0.3229166667
70	0.4666666667	0.5441617461	0.775	0.8076923077	0.328125
71	0.4609665428	0.5434644042	0.7734375	0.8051948052	0.3229166667
72	0.4609665428	0.5427234249	0.7734375	0.8051948052	0.3229166667
73	0.4609665428	0.5411603494	0.7734375	0.8051948052	0.3229166667
74	0.4626865672	0.540170493	0.775	0.8157894737	0.3229166667
75	0.4586466165	0.5388842075	0.775	0.8243243243	0.3177083333
76	0.4644194757	0.5375088321	0.7765625	0.8266666667	0.3229166667
77	0.4609665428	0.5361845508	0.7734375	0.8051948052	0.3229166667
78	0.4661654135	0.535337803	0.778125	0.8378378378	0.3229166667
79	0.4644194757	0.5341757684	0.7765625	0.8266666667	0.3229166667
80	0.4603773585	0.5339484687	0.7765625	0.8356164384	0.3177083333
81	0.4621212121	0.5334533386	0.778125	0.8472222222	0.3177083333
82	0.4511278195	0.5325986919	0.771875	0.8108108108	0.3125
83	0.456928839	0.531629302	0.7734375	0.8133333333	0.3177083333
84	0.456928839	0.5299949293	0.7734375	0.8133333333	0.3177083333
85	0.456928839	0.5285409259	0.7734375	0.8133333333	0.3177083333
86	0.4603773585	0.528345329	0.7765625	0.8356164384	0.3177083333
87	0.4603773585	0.5278555135	0.7765625	0.8356164384	0.3177083333
88	0.463878327	0.52672116	0.7796875	0.8591549296	0.3177083333
89	0.4621212121	0.5253124232	0.778125	0.8472222222	0.3177083333
90	0.463878327	0.5247800874	0.7796875	0.8591549296	0.3177083333
91	0.4621212121	0.5235406814	0.778125	0.8472222222	0.3177083333
92	0.4679245283	0.5217477051	0.7796875	0.8493150685	0.3229166667
93	0.4679245283	0.5213897849	0.7796875	0.8493150685	0.3229166667
94	0.4679245283	0.5201498648	0.7796875	0.8493150685	0.3229166667
95	0.4794007491	0.5189828321	0.7828125	0.8533333333	0.3333333333
96	0.4794007491	0.5177496885	0.7828125	0.8533333333	0.3333333333
97	0.4736842105	0.5176028653	0.78125	0.8513513514	0.328125
98	0.4754716981	0.5166446485	0.7828125	0.8630136986	0.328125
99	0.4830188679	0.5155801959	0.7859375	0.8767123288	0.3333333333
100	0.4812030075	0.514775239	0.784375	0.8648648649	0.3333333333
101	0.4812030075	0.5137057066	0.784375	0.8648648649	0.3333333333
102	0.4868913858	0.5129974503	0.7859375	0.8666666667	0.3385416667
103	0.4925373134	0.5120361908	0.7875	0.8684210526	0.34375
104	0.4887218045	0.5109910866	0.7875	0.8783783784	0.3385416667
105	0.4887218045	0.5104781745	0.7875	0.8783783784	0.3385416667
106	0.4887218045	0.5093224698	0.7875	0.8783783784	0.3385416667
107	0.4981412639	0.5083788449	0.7890625	0.8701298701	0.3489583333
108	0.5054945055	0.5072796263	0.7890625	0.8518518519	0.359375
109	0.5092250923	0.506772774	0.7921875	0.8734177215	0.359375
110	0.5055762082	0.5065408842	0.7921875	0.8831168831	0.3541666667
111	0.5166051661	0.5057270216	0.7953125	0.8860759494	0.3645833333
112	0.5239852399	0.5049072957	0.7984375	0.8987341772	0.3697916667
113	0.5111111111	0.5047058309	0.79375	0.8846153846	0.359375
114	0.5239852399	0.5039645674	0.7984375	0.8987341772	0.3697916667
115	0.5255474453	0.5026923063	0.796875	0.8780487805	0.375
116	0.5255474453	0.5023485327	0.796875	0.8780487805	0.375
117	0.5294117647	0.5014985849	0.8	0.9	0.375
118	0.5347985348	0.500232747	0.8015625	0.9012345679	0.3802083333
119	0.5367647059	0.5000506178	0.803125	0.9125	0.3802083333
120	0.5313653137	0.4993249463	0.8015625	0.9113924051	0.375
121	0.5313653137	0.4989405966	0.8015625	0.9113924051	0.375
122	0.5313653137	0.4984718924	0.8015625	0.9113924051	0.375
123	0.5313653137	0.4982054757	0.8015625	0.9113924051	0.375
124	0.5367647059	0.4972564268	0.803125	0.9125	0.3802083333
125	0.5347985348	0.4967202465	0.8015625	0.9012345679	0.3802083333
126	0.5347985348	0.4961750403	0.8015625	0.9012345679	0.3802083333
127	0.5347985348	0.4953606549	0.8015625	0.9012345679	0.3802083333
128	0.5401459854	0.4944930856	0.803125	0.9024390244	0.3854166667
129	0.5401459854	0.4937138045	0.803125	0.9024390244	0.3854166667
130	0.5401459854	0.4928009281	0.803125	0.9024390244	0.3854166667
131	0.5401459854	0.4916936547	0.803125	0.9024390244	0.3854166667
132	0.5454545455	0.4907007065	0.8046875	0.9036144578	0.390625
133	0.5454545455	0.4899531666	0.8046875	0.9036144578	0.390625
134	0.5454545455	0.4892536042	0.8046875	0.9036144578	0.390625
135	0.5507246377	0.488265096	0.80625	0.9047619048	0.3958333333
136	0.5507246377	0.4871343976	0.80625	0.9047619048	0.3958333333
137	0.5527272727	0.4861323348	0.8078125	0.9156626506	0.3958333333
138	0.5527272727	0.4853463342	0.8078125	0.9156626506	0.3958333333
139	0.5507246377	0.484562621	0.80625	0.9047619048	0.3958333333
140	0.5547445255	0.4839261989	0.809375	0.9268292683	0.3958333333
141	0.5547445255	0.4835505725	0.809375	0.9268292683	0.3958333333
142	0.56	0.4828797149	0.8109375	0.9277108434	0.4010416667
143	0.5579710145	0.4818639528	0.809375	0.9166666667	0.4010416667
144	0.5631768953	0.4813681862	0.8109375	0.9176470588	0.40625
145	0.5652173913	0.4806627269	0.8125	0.9285714286	0.40625
146	0.5579710145	0.4798646847	0.809375	0.9166666667	0.4010416667
147	0.5579710145	0.4791610356	0.809375	0.9166666667	0.4010416667
148	0.5559566787	0.4785797422	0.8078125	0.9058823529	0.4010416667
149	0.5559566787	0.4783019856	0.8078125	0.9058823529	0.4010416667
150	0.5454545455	0.4781701186	0.8046875	0.9036144578	0.390625
151	0.5401459854	0.4776427099	0.803125	0.9024390244	0.3854166667
152	0.5527272727	0.4768071752	0.8078125	0.9156626506	0.3958333333
153	0.5527272727	0.4760823698	0.8078125	0.9156626506	0.3958333333
154	0.5527272727	0.4757317329	0.8078125	0.9156626506	0.3958333333
155	0.5507246377	0.4751770473	0.80625	0.9047619048	0.3958333333
156	0.5507246377	0.4748310646	0.80625	0.9047619048	0.3958333333
157	0.5539568345	0.4744440938	0.80625	0.8953488372	0.4010416667
158	0.5591397849	0.4739239677	0.8078125	0.8965517241	0.40625
159	0.5591397849	0.4734449862	0.8078125	0.8965517241	0.40625
160	0.5591397849	0.4722699333	0.8078125	0.8965517241	0.40625
161	0.5591397849	0.4716295288	0.8078125	0.8965517241	0.40625
162	0.5591397849	0.4710422876	0.8078125	0.8965517241	0.40625
163	0.5611510791	0.4707575334	0.809375	0.9069767442	0.40625
164	0.5611510791	0.4706515737	0.809375	0.9069767442	0.40625
165	0.5611510791	0.4693165108	0.809375	0.9069767442	0.40625
166	0.5683453237	0.4685516836	0.8125	0.9186046512	0.4114583333
167	0.5579710145	0.4683887021	0.809375	0.9166666667	0.4010416667
168	0.5683453237	0.46776463	0.8125	0.9186046512	0.4114583333
169	0.5663082437	0.4673094228	0.8109375	0.908045977	0.4114583333
170	0.5663082437	0.4665672173	0.8109375	0.908045977	0.4114583333
171	0.5663082437	0.4664470237	0.8109375	0.908045977	0.4114583333
172	0.5611510791	0.46591998	0.809375	0.9069767442	0.40625
173	0.5611510791	0.4647221906	0.809375	0.9069767442	0.40625
174	0.5631768953	0.4642257156	0.8109375	0.9176470588	0.40625
175	0.5631768953	0.4634537739	0.8109375	0.9176470588	0.40625
176	0.5631768953	0.4633370829	0.8109375	0.9176470588	0.40625
177	0.5652173913	0.4626388533	0.8125	0.9285714286	0.40625
178	0.5631768953	0.4621058302	0.8109375	0.9176470588	0.40625
179	0.5683453237	0.4618868676	0.8125	0.9186046512	0.4114583333
180	0.5631768953	0.4612343282	0.8109375	0.9176470588	0.40625
181	0.5631768953	0.4609418759	0.8109375	0.9176470588	0.40625
182	0.5683453237	0.4603904114	0.8125	0.9186046512	0.4114583333
183	0.5631768953	0.4601596909	0.8109375	0.9176470588	0.40625
184	0.5663082437	0.4596986495	0.8109375	0.908045977	0.4114583333
185	0.5663082437	0.4591708712	0.8109375	0.908045977	0.4114583333
186	0.5622775801	0.4587202679	0.8078125	0.8876404494	0.4114583333
187	0.5622775801	0.4582600592	0.8078125	0.8876404494	0.4114583333
188	0.5571428571	0.4577146224	0.80625	0.8863636364	0.40625
189	0.5622775801	0.4570918693	0.8078125	0.8876404494	0.4114583333
190	0.5571428571	0.4570498292	0.80625	0.8863636364	0.40625
191	0.5571428571	0.4566937265	0.80625	0.8863636364	0.40625
192	0.5591397849	0.4558786741	0.8078125	0.8965517241	0.40625
193	0.5642857143	0.4552454215	0.809375	0.8977272727	0.4114583333
194	0.5642857143	0.4548795698	0.809375	0.8977272727	0.4114583333
195	0.5622775801	0.4542706545	0.8078125	0.8876404494	0.4114583333
196	0.5622775801	0.4542008986	0.8078125	0.8876404494	0.4114583333
197	0.5642857143	0.4535041567	0.809375	0.8977272727	0.4114583333
198	0.5642857143	0.4534480438	0.809375	0.8977272727	0.4114583333
199	0.5714285714	0.4527420646	0.8125	0.9090909091	0.4166666667
200	0.5765124555	0.4522474145	0.8140625	0.9101123596	0.421875
201	0.5714285714	0.4521396406	0.8125	0.9090909091	0.4166666667
202	0.5795053004	0.4514103441	0.8140625	0.9010989011	0.4270833333
203	0.5795053004	0.4510817621	0.8140625	0.9010989011	0.4270833333
204	0.5815602837	0.4509408568	0.815625	0.9111111111	0.4270833333
205	0.5815602837	0.4503991991	0.815625	0.9111111111	0.4270833333
206	0.5845070423	0.4494048303	0.815625	0.902173913	0.4322916667
207	0.5845070423	0.449040281	0.815625	0.902173913	0.4322916667
208	0.5824561404	0.4482478759	0.8140625	0.8924731183	0.4322916667
209	0.5964912281	0.4477531561	0.8203125	0.9139784946	0.4427083333
210	0.5874125874	0.4472057548	0.815625	0.8936170213	0.4375
211	0.5923344948	0.4468722591	0.8171875	0.8947368421	0.4427083333
212	0.5874125874	0.4466981415	0.815625	0.8936170213	0.4375
213	0.5824561404	0.445924242	0.8140625	0.8924731183	0.4322916667
214	0.5824561404	0.4452329731	0.8140625	0.8924731183	0.4322916667
215	0.5972222222	0.4445429428	0.81875	0.8958333333	0.4479166667
216	0.6020761246	0.4440109079	0.8203125	0.8969072165	0.453125
217	0.6	0.4437407804	0.81875	0.887755102	0.453125
218	0.6020761246	0.4430483248	0.8203125	0.8969072165	0.453125
219	0.6041666667	0.4424383281	0.821875	0.90625	0.453125
220	0.6020761246	0.4419085972	0.8203125	0.8969072165	0.453125
221	0.6020761246	0.441449635	0.8203125	0.8969072165	0.453125
222	0.6020761246	0.4412887953	0.8203125	0.8969072165	0.453125
223	0.6020761246	0.440938334	0.8203125	0.8969072165	0.453125
224	0.6020761246	0.4406775668	0.8203125	0.8969072165	0.453125
225	0.6020761246	0.4403299341	0.8203125	0.8969072165	0.453125
226	0.6020761246	0.4400937243	0.8203125	0.8969072165	0.453125
227	0.6089965398	0.4397837161	0.8234375	0.9072164948	0.4583333333
228	0.6137931034	0.4392353466	0.825	0.9081632653	0.4635416667
229	0.615916955	0.4384847532	0.8265625	0.9175257732	0.4635416667
230	0.615916955	0.4380235195	0.8265625	0.9175257732	0.4635416667
231	0.615916955	0.4375433202	0.8265625	0.9175257732	0.4635416667
232	0.615916955	0.4370997297	0.8265625	0.9175257732	0.4635416667
233	0.615916955	0.4365823543	0.8265625	0.9175257732	0.4635416667
234	0.6111111111	0.4360476773	0.825	0.9166666667	0.4583333333
235	0.6111111111	0.4355699945	0.825	0.9166666667	0.4583333333
236	0.6137931034	0.4349918619	0.825	0.9081632653	0.4635416667
237	0.6116838488	0.4348460351	0.8234375	0.898989899	0.4635416667
238	0.6116838488	0.4346022733	0.8234375	0.898989899	0.4635416667
239	0.618556701	0.4340766107	0.8265625	0.9090909091	0.46875
